CENTRO_FORMACION,CODIGO_CENTRO,LATITUD,LONGITUD,GEORREFERENCIACION,NOMBRE_REGIONAL,CODIGO_REGIONAL,NOMBRE_DEPARTAMENTO,CODIGO_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO,LATITUD_norm,LONGITUD_norm,distancia_bog
CENTRO DE SERVICIOS Y GESTION EMPRESARIAL,9402,6.256,-75.566,POINT (-75.566 6.256),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1,0.2458531252672505,-0.44498809884503016,2.149200083752092
CENTRO DE FORMACION DE TALENTO HUMANO EN SALUD,9403,4.6316,-74.0635,POINT (-74.0635 4.6316),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1,-0.30035556434579835,0.24868929543114157,0.07985367868796063
CENTRO DE GESTION ADMINISTRATIVA,9404,4.603,-74.07999,POINT (-74.07999 4.603),11,REGIONAL DISTRITO CAPITAL,ANTIOQUIA,5,MEDELLIN,1,-0.3099723881102241,0.24107615717383216,0.10829515270777357
CENTRO DE SERVICIOS FINANCIEROS,9405,4.652,-74.0628,POINT (-74.0628 4.652),11,REGIONAL DISTRITO CAPITAL,ANTIOQUIA,5,ITAGUI,360,-0.2934960117306134,0.24901247291932765,0.059712980163446436
COMPLEJO TECNOLOGICO MINERO AGROEMPRESARIAL,9502,6.49275,-74.4178,POINT (-74.4178 6.49275),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1,0.3254609233871035,0.08511531819849963,1.8149960612904914
CENTRO DE LA INNOVACION LA AGROINDUSTRIA Y LA AVIACION,9503,6.321175,-75.37142,POINT (-75.37142 6.321175),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1,0.26776838711502843,-0.3551539907729775,2.069095422406853
CENTRO DE FORMACION EN ACTIVIDAD FISICA Y CULTURA,9508,4.61788,-74.1589,POINT (-74.1589 4.61788),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1,-0.30496894973208905,0.20464482061320782,0.1273693228371729
CENTRO DE DESARROLLO AGROINDUSTRIAL Y EMPRESARIAL,9509,5.00638,-74.4755,POINT (-74.4755 5.00638),25,REGIONAL CUNDINAMARCA,BOGOTA D.C.,11,BOGOTA,1,-0.1743348227223198,0.0584762595297921,0.5000615906065922
CENTRO AGROECOLOGICO Y EMPRESARIAL,9510,4.3355,-74.3644,POINT (-74.3644 4.3355),25,REGIONAL CUNDINAMARCA,CUNDINAMARCA,25,ARBELAEZ,53,-0.3999199530397307,0.10976914372551799,0.4759180706802389
CENTRO DE LA TECNOLOGIA DEL DISENO Y LA PRODUCTIVIDAD EMPRESARIAL,9511,4.3022,-74.8055,POINT (-74.8055 4.3022),25,REGIONAL CUNDINAMARCA,CUNDINAMARCA,25,AGUA DE DIOS,1,-0.4111171639262822,-0.09387884204167933,0.8397259612516389
CENTRO DE BIOTECNOLOGIA AGROPECUARIA,9512,4.69448,-74.21733,POINT (-74.21733 4.69448),25,REGIONAL CUNDINAMARCA,BOGOTA D.C.,11,BOGOTA,1,-0.27921200216722847,0.17766873399253716,0.14626591981729842
CENTRO DE DESARROLLO AGROEMPRESARIAL,9513,4.849436,-74.049436,POINT (-74.049436 4.849436),25,REGIONAL CUNDINAMARCA,BOGOTA D.C.,11,BOGOTA,1,-0.22710764750847492,0.2551823928508443,0.14026282541001375
CENTRO PECUARIO Y AGROEMPRESARIAL,9515,5.476675,-74.668,POINT (-74.668 5.476675),17,REGIONAL CALDAS,ANTIOQUIA,5,APARTADO,45,-0.016196915998871856,-0.03039754972023782,0.9702959371372243
CENTRO TECNOLOGICO DE LA AMAZONIA,9516,1.6,-75.583,POINT (-75.583 1.6),18,REGIONAL CAQUETA,CAQUETA,18,FLORENCIA,1,-1.319738883374928,-0.45283669498658896,3.4585317694073576
CENTRO PARA LA BIODIVERSIDAD Y EL TURISMO DEL AMAZONAS,9517,-4.21095,-69.943075,POINT (-69.943075 -4.21095),91,REGIONAL AMAZONAS,AMAZONAS,91,LETICIA,1,-3.273685808336111,2.151015869348218,9.831033183654966
CENTRO AGROFORESTAL Y ACUICOLA ARAPAIMA,9518,0.49887,-76.505,POINT (-76.505 0.49887),86,REGIONAL PUTUMAYO,PUTUMAYO,86,MOCOA,1,-1.6899966858826947,-0.8785076151347615,4.864311681718182
CENTRO AGROINDUSTRIAL Y FORTALECIMIENTO EMPRESARIAL DE CASANARE,9519,5.328083,-72.393138,POINT (-72.393138 5.328083),85,REGIONAL CASANARE,CASANARE,85,YOPAL,1,-0.06616135924375122,1.0198655747375938,1.7886780157236326
CENTRO AGROEMPRESARIAL,9520,8.303351,-73.598824,POINT (-73.598824 8.303351),20,REGIONAL CESAR,CESAR,20,AGUACHICA,11,0.9342801794952512,0.4632218990003148,3.6233798081593656
CENTRO DE COMERCIO INDUSTRIA Y TURISMO DE CORDOBA,9523,8.752,-75.886,POINT (-75.886 8.752),23,REGIONAL CORDOBA,CORDOBA,23,MONTERIA,1,1.0851395628898617,-0.5927263791567576,4.429478185971795
CENTRO AGROEMPRESARIAL Y ACUICOLA,9524,10.895644,-72.828556,POINT (-72.828556 10.895644),44,REGIONAL GUAJIRA,LA GUAJIRA,44,RIOHACHA,1,1.805945386724431,0.8188408668101719,6.3084050589568195
CENTRO DE DESARROLLO AGROEMPRESARIAL Y TURISTICO DEL HUILA,9526,2.3927,-75.889,POINT (-75.889 2.3927),41,REGIONAL HUILA,CAUCA,19,INZA,355,-1.0531914638623303,-0.5941114255346801,2.9455057104001643
CENTRO DE GESTION Y DESARROLLO SOSTENIBLE SURCOLOMBIANO,9528,1.85483,-76.0478,POINT (-76.0478 1.85483),41,REGIONAL HUILA,HUILA,41,ACEVEDO,6,-1.2340516386235778,-0.6674265471393762,3.4729659815350873
CENTRO DE LOGISTICA Y PROMOCION ECOTURISTICA DEL MAGDALENA,9529,11.23407,-74.20168,POINT (-74.20168 11.23407),47,REGIONAL MAGDALENA,MAGDALENA,47,SANTA MARTA,1,1.9197420020845546,0.1848940592640364,6.524358905463431
CENTRO DE GESTION Y DESARROLLO AGROINDUSTRIAL DE ARAUCA,9530,7.09375,-70.757672,POINT (-70.757672 7.09375),81,REGIONAL ARAUCA,ARAUCA,81,ARAUCA,1,0.5275487234717146,1.7749309945760436,4.081944102273329
CENTRO DE INDUSTRIA Y SERVICIOS DEL META,9532,4.127,-73.64,POINT (-73.64 4.127),50,REGIONAL META,META,50,VILLAVICENCIO,1,-0.4700286157978695,0.4442116757811995,0.7264158588577224
CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL,9534,0.8296,-77.665,POINT (-77.665 0.8296),52,REGIONAL NARINO,NARINO,52,PASTO,1,-1.578787870371907,-1.41405888126479,5.289131777522662
CENTRO INTERNACIONAL DE PRODUCCION LIMPIA - LOPE,9536,1.2117,-77.254,POINT (-77.254 1.2117),52,REGIONAL NARINO,NARINO,52,PASTO,1,-1.450305759868862,-1.2243075274894104,4.729717168076757
CENTRO DE LA INDUSTRIA LA EMPRESA Y LOS SERVICIOS,9537,7.8991,-72.5038,POINT (-72.5038 7.8991),54,REGIONAL NORTE DE SANTANDER,NORTE DE SANTANDER,54,CUCUTA,1,0.7983497381108852,0.9687749073130392,3.552918919705319
CENTRO DE COMERCIO Y TURISMO,9538,4.54,-75.686,POINT (-75.686 4.54),63,REGIONAL QUINDIO,ANTIOQUIA,5,MEDELLIN,1,-0.3311563005982947,-0.5003899539619312,1.623033271378013
CENTRO INDUSTRIAL Y DEL DESARROLLO TECNOLOGICO,9540,7.0659,-73.851,POINT (-73.851 7.0659),68,REGIONAL SANTANDER,ANTIOQUIA,5,YONDO,893,0.5181840891416706,0.34679674720065284,2.3652473464735144
CENTRO AGROTURISTICO,9541,6.5587,-73.141388,POINT (-73.141388 6.5587),68,REGIONAL SANTANDER,SANTANDER,68,ARATOCA,51,0.34763678098374257,0.6744119239774239,2.068824300066101
CENTRO DE LA INNOVACION LA TECNOLOGIA Y LOS SERVICIOS,9542,9.3028,-75.38,POINT (-75.38 9.3028),70,REGIONAL SUCRE,SUCRE,70,SINCELEJO,1,1.2703474834998512,-0.35911522341383345,4.7744624032449945
CENTRO DE TECNOLOGIAS AGROINDUSTRIALES,9543,4.7457,-75.9137,POINT (-75.9137 4.7457),76,REGIONAL VALLE,CHOCO,27,SAN JOSE DEL PALMAR,660,-0.26198914506184784,-0.6055149740462464,1.8420268673393476
CENTRO DE BIOTECNOLOGIA INDUSTRIAL,9544,3.5189,-76.3019,POINT (-76.3019 3.5189),76,REGIONAL VALLE,CAUCA,19,PUERTO TEJADA,573,-0.6745038091946282,-0.7847399753494136,2.528548283106337
CENTRO AGROEMPRESARIAL Y TURISTICO DE LOS ANDES,9545,6.701066,-72.735,POINT (-72.735 6.701066),68,REGIONAL SANTANDER,BOYACA,15,BOAVITA,97,0.39550771567067394,0.8620339997878133,2.397484449241748
CENTRO DE GESTION AGROEMPRESARIAL DEL ORIENTE,9546,6.00972,-73.669,POINT (-73.669 6.00972),68,REGIONAL SANTANDER,SANTANDER,68,BUCARAMANGA,1,0.16304084006785263,0.4308228941279506,1.3598097802266327
CENTRO AGROEMPRESARIAL Y DESARROLLO PECUARIO DEL HUILA,9525,2.200617,-75.628107,POINT (-75.628107 2.200617),41,REGIONAL HUILA,HUILA,41,AGRADO,13,-1.1177798680281412,-0.47366179064290603,2.9535557895760145
CENTRO AGROINDUSTRIAL Y PESQUERO DE LA COSTA PACIFICA,9535,1.686375,-78.760088,POINT (-78.760088 1.686375),52,REGIONAL NARINO,NARINO,52,BARBACOAS,79,-1.2906950668486248,-1.9196414372335744,5.579115116787692
CENTRO AGROPECUARIO Y DE BIOTECNOLOGIA EL PORVENIR,9115,8.57089,-75.949802,POINT (-75.949802 8.57089),23,REGIONAL CORDOBA,CORDOBA,23,MONTERIA,1,1.024240858275346,-0.6221826221581653,4.292422528515106
CENTRO AGROPECUARIO Y DE SERVICIOS AMBIENTALES JIRI - JIRIMO,9548,1.249076,-70.235523,POINT (-70.235523 1.249076),97,REGIONAL VAUPES,VAUPES,97,MITU,1,-1.4377379834695903,2.015997854971324,5.167540377520529
CENTRO AMBIENTAL Y ECOTURISTICO DEL NORORIENTE AMAZONICO,9547,3.87584,-67.919917,POINT (-67.919917 3.87584),94,REGIONAL GUAINIA,GUAINIA,94,PTO INIRIDA,1,-0.5544818135836446,3.0850717559698415,6.208511694801666
CENTRO DE FORMACION AGROINDUSTRIAL,9116,2.612561,-75.361435,POINT (-75.361435 2.612561),41,REGIONAL HUILA,HUILA,41,NEIVA,1,-0.9792626355521761,-0.3505440947451254,2.4629431288493033
CENTRO DE FORMACION MINERO AMBIENTAL,9127,7.584644,-74.800809,POINT (-74.800809 7.584644),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,CAUCASIA,154,0.6926130970736032,-0.09171309118873733,2.9646234832128338
CENTRO DE FORMACION TURISTICA GENTE DE MAR Y DE SERVICIOS,9539,12.57813,-81.699558,POINT (-81.699558 12.57813),88,REGIONAL SAN ANDRES,SAN ANDRES Y PROVIDENCIA,88,SAN ANDRES ISLAS,1,2.3716856436514804,-3.2767421960708334,10.95770849586098
CENTRO DE GESTION ADMINISTRATIVA Y FORTALECIMIENTO EMPRESARIAL,9305,5.532872,-73.364538,POINT (-73.364538 5.532872),15,REGIONAL BOYACA,BOYACA,15,TUNJA,1,0.0026994701930664125,0.5713875575662952,1.0844243015665083
CENTRO DE OPERACION Y MANTENIMIENTO MINERO,9521,10.471546,-73.257896,POINT (-73.257896 10.471546),20,REGIONAL CESAR,BOLIVAR,13,CARTAGENA,1,1.6633413404011639,0.6206222628444285,5.817787856301741
CENTRO DE PRODUCCION Y TRANSFORMACION AGROINDUSTRIAL DE LA ORINOQUIA,9531,6.182762,-67.486019,POINT (-67.486019 6.182762),99,REGIONAL VICHADA,VICHADA,99,PUERTO CARRENO,1,0.22122665887357876,3.2853947070657767,6.7484241950995525
CENTRO INDUSTRIAL DE MANTENIMIENTO Y MANUFACTURA,9514,5.755345,-72.90827,POINT (-72.90827 5.755345),15,REGIONAL BOYACA,BOYACA,15,TUNJA,1,0.0775065902400276,0.7820383378202698,1.5636252722199786
CENTRO INDUSTRIAL Y DE DESARROLLO EMPRESARIAL DE SOACHA,9232,4.585575,-74.219481,POINT (-74.219481 4.585575),25,REGIONAL CUNDINAMARCA,CUNDINAMARCA,25,GRANADA,312,-0.3158315893023609,0.17667565573956776,0.19360288217379332
CENTRO MINERO,9111,5.730046,-72.8933,POINT (-72.8933 5.730046),15,REGIONAL BOYACA,BOGOTA D.C.,11,BOGOTA,1,0.06899973623946078,0.7889497192461054,1.5581362071770277
COMPLEJO TECNOLOGICO PARA LA GESTION AGROEMPRESARIAL,9501,7.996571,-75.196427,POINT (-75.196427 7.996571),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,CACERES,120,0.8311246132557224,-0.27436285050238135,3.472652138405169
COMPLEJO TECNOLOGICO TURISTICO Y AGROINDUSTRIAL DEL OCCIDENTE ANTIOQUENO,9549,6.55898,-75.829196,POINT (-75.829196 6.55898),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1,0.3477309317059118,-0.5665009876729217,2.550052521579894
CENTRO AGROFORESTAL Y ACUICOLA ARAPAIMA,9518,0.505059,-76.501705,POINT (-76.501705 0.505059),86,REGIONAL PUTUMAYO,PUTUMAYO,86,MOCOA,1,-1.687915618670176,-0.8769863725296793,4.8573044049664
CENTRO DE FORMACION TURISTICA GENTE DE MAR Y DE SERVICIOS,9539,12.576799,-81.701032,POINT (-81.701032 12.576799),88,REGIONAL SAN ANDRES,SAN ANDRES Y PROVIDENCIA,88,SAN ANDRES ISLAS,1,2.3712380914685975,-3.27742271552452,10.957779116473597
CENTRO PARA LA BIODIVERSIDAD Y EL TURISMO DEL AMAZONAS,9517,-4.210806,-69.945538,POINT (-69.945538 -4.210806),91,REGIONAL AMAZONAS,AMAZONAS,91,LETICIA,1,-3.273637387964709,2.149878746271941,9.829868307311143
CENTRO AMBIENTAL Y ECOTURISTICO DEL NORORIENTE AMAZONICO,9547,3.874345,-67.921817,POINT (-67.921817 3.874345),94,REGIONAL GUAINIA,GUAINIA,94,PTO INIRIDA,1,-0.5549845111895123,3.084194559930488,6.206830312044464
"CENTRO DE DESARROLLO AGROINDUSTRIAL, TURISTICO Y TECNOLOGICO DEL GUAVIARE",9533,2.561174,-72.642749,POINT (-72.642749 2.561174),95,REGIONAL GUAVIARE,META,50,PUERTO CONCORDIA,450,-0.9965416468382792,0.9046246375910574,2.5815712756530713
CENTRO DE PRODUCCION Y TRANSFORMACION AGROINDUSTRIAL DE LA ORINOQUIA,9531,6.181997,-67.485291,POINT (-67.485291 6.181997),99,REGIONAL VICHADA,VICHADA,99,PUERTO CARRENO,1,0.2209694256505092,3.2857308116534836,6.748967893292276
